,國文,英文,數學,社會,自然
0,9,8,14,7,11
1,11,12,10,8,9
2,15,11,8,15,10
3,7,9,10,6,13
4,9,12,11,14,12
5,9,9,12,7,15
6,7,7,11,11,8
7,15,15,6,9,7
8,8,7,14,7,6
9,9,7,10,11,7
10,8,14,14,9,8
11,9,12,12,11,14
12,11,14,14,10,9
13,11,11,14,6,14
14,15,15,9,8,8
15,8,14,13,11,15
16,11,7,15,12,6
17,8,14,13,14,6
18,9,13,9,12,8
19,11,13,9,15,14
20,7,6,15,6,9
21,14,15,14,11,12
22,7,14,14,10,12
23,8,13,13,13,14
24,14,10,13,6,12
25,15,13,13,12,14
26,13,9,6,7,9
27,15,15,15,10,12
28,10,9,14,12,9
29,7,13,10,15,12
30,15,11,11,14,7
31,15,15,10,14,12
32,8,13,11,15,14
33,13,9,13,6,11
34,12,11,13,10,15
35,10,7,13,6,11
36,12,8,14,7,10
37,12,11,14,12,14
38,10,13,7,8,10
39,7,12,7,8,7
40,11,10,6,13,10
41,13,9,14,6,10
42,14,9,7,7,15
43,8,10,15,7,11
44,6,8,10,12,14
45,11,6,13,11,12
46,14,13,7,7,7
47,8,13,7,14,13
48,11,12,11,9,9
49,11,14,7,7,13
50,7,12,6,9,11
51,12,9,12,15,10
52,15,15,15,11,11
53,9,12,8,7,15
54,15,11,8,7,8
55,9,14,14,11,8
56,11,14,11,11,13
57,12,8,14,12,11
58,8,9,8,10,13
59,12,11,9,13,13
60,12,10,13,8,9
61,10,12,8,6,13
62,11,6,11,6,6
63,8,11,10,11,13
64,10,12,13,10,6
65,8,12,9,6,14
66,14,10,6,14,9
67,11,12,14,9,10
68,15,8,14,14,13
69,9,6,15,14,12
70,13,12,13,13,12
71,8,13,7,10,9
72,11,14,13,7,6
73,6,6,9,10,14
74,14,13,12,12,13
75,6,13,15,11,6
76,14,8,15,11,8
77,7,12,10,9,8
78,6,10,12,9,14
79,9,9,8,6,14
80,15,9,13,6,14
81,11,13,14,14,11
82,14,8,9,14,11
83,13,10,9,14,6
84,15,11,10,8,9
85,9,13,6,14,11
86,13,13,11,13,15
87,11,6,7,15,15
88,9,11,13,8,10
89,9,7,12,7,7
90,10,12,13,9,14
91,7,7,9,8,12
92,14,6,15,9,11
93,11,15,9,9,12
94,7,14,12,8,13
95,11,11,12,10,11
96,6,10,6,14,10
97,8,13,11,7,6
98,15,15,10,8,13
99,15,11,9,12,8
